Study,Phase,Region,Metabolite,Mean,SE,n,SourceFile
Sailasuta,Acute,BG,NAA,1.134,0.02514474228374849,31,MASTER_HIV_MRS_DATABASE_v2.csv
Young_2014,Acute,AC,mI/Cr,0.95,0.0217,53,YOUNG_2014_CROSS_SECTIONAL_DATA.csv
Young_2014,Acute,AC,NAA/Cr,1.28,0.009,53,YOUNG_2014_CROSS_SECTIONAL_DATA.csv
Young,Acute,BG,NAA,1.125,0.06666666666666667,9,MASTER_HIV_MRS_DATABASE_v2.csv
Young_2014,Acute,PGM,Cho/Cr,0.18,0.0026,53,YOUNG_2014_CROSS_SECTIONAL_DATA.csv
Young_2014,Acute,FWM,mI/Cr,0.9,0.0289,53,YOUNG_2014_CROSS_SECTIONAL_DATA.csv
Young_2014,Acute,BG,NAA/Cr,1.15,0.01,53,YOUNG_2014_CROSS_SECTIONAL_DATA.csv
Young_2014,Acute,FWM,NAA/Cr,1.35,0.01,53,YOUNG_2014_CROSS_SECTIONAL_DATA.csv
Young_2014,Acute,AC,Glu/Cr,1.0,0.0139,53,YOUNG_2014_CROSS_SECTIONAL_DATA.csv
Young_2014,Acute,AC,Cho/Cr,0.285,0.0036,53,YOUNG_2014_CROSS_SECTIONAL_DATA.csv
Young_2014,Acute,BG,mI/Cr,0.7,0.0226,53,YOUNG_2014_CROSS_SECTIONAL_DATA.csv
Chang,Acute,BG,NAA,7.96,0.23496098966991663,15,MASTER_HIV_MRS_DATABASE_v2.csv
Young_2014,Acute,PGM,mI/Cr,0.9,0.0153,53,YOUNG_2014_CROSS_SECTIONAL_DATA.csv
Sailasuta et al. 2016,Acute,BG,NAA/Cr,1.13,0.03,31,bg_combined_with_winston_dahmani.csv
Young_2014,Acute,FWM,Cho/Cr,0.29,0.0062,53,YOUNG_2014_CROSS_SECTIONAL_DATA.csv
Young_2014,Acute,BG,Cho/Cr,0.25,0.0057,53,YOUNG_2014_CROSS_SECTIONAL_DATA.csv
Young_2014,Acute,PGM,NAA/Cr,1.3,0.009,53,YOUNG_2014_CROSS_SECTIONAL_DATA.csv
Young_2014,Acute,PGM,Glu/Cr,1.1,0.0197,53,YOUNG_2014_CROSS_SECTIONAL_DATA.csv
Mohamed et al. 2010,Chronic,BG,NAA/Cr,1.0,0.09,26,bg_combined_with_winston_dahmani.csv
Sailasuta et al. 2016,Chronic,BG,NAA/Cr,1.0,0.03,26,bg_combined_with_winston_dahmani.csv
Young_2014,Chronic,FWM,NAA/Cr,1.15,0.013,18,YOUNG_2014_CROSS_SECTIONAL_DATA.csv
Young_2014,Chronic,FWM,Cho/Cr,0.3,0.0129,18,YOUNG_2014_CROSS_SECTIONAL_DATA.csv
Young_2014,Chronic,PGM,NAA/Cr,1.25,0.017,18,YOUNG_2014_CROSS_SECTIONAL_DATA.csv
Young_2014,Chronic,PGM,Cho/Cr,0.19,0.0058,18,YOUNG_2014_CROSS_SECTIONAL_DATA.csv
Young_2014,Chronic,AC,NAA/Cr,1.1,0.023,18,YOUNG_2014_CROSS_SECTIONAL_DATA.csv
Young_2014,Chronic,AC,Cho/Cr,0.3,0.0146,18,YOUNG_2014_CROSS_SECTIONAL_DATA.csv
Sailasuta_2012,Chronic,OGM,NAA/Cr,1.415,0.023533936216582,26,Sailasuta_2012.csv
Mohamed et al. 2010,Control,BG,NAA/Cr,1.08,0.11,18,bg_combined_with_winston_dahmani.csv
Young_2014,Control,FWM,NAA/Cr,1.35,0.024,19,YOUNG_2014_CROSS_SECTIONAL_DATA.csv
Young_2014,Control,FWM,Cho/Cr,0.3,0.0142,19,YOUNG_2014_CROSS_SECTIONAL_DATA.csv
Young_2014,Control,PGM,NAA/Cr,1.4,0.02,19,YOUNG_2014_CROSS_SECTIONAL_DATA.csv
Young_2014,Control,PGM,Cho/Cr,0.2,0.0036,19,YOUNG_2014_CROSS_SECTIONAL_DATA.csv
Young_2014,Control,AC,NAA/Cr,1.22,0.019,19,YOUNG_2014_CROSS_SECTIONAL_DATA.csv
Young_2014,Control,AC,Cho/Cr,0.29,0.0062,19,YOUNG_2014_CROSS_SECTIONAL_DATA.csv
Sailasuta_2012,Control,OGM,NAA/Cr,1.428,0.0379473319220205,10,Sailasuta_2012.csv
